               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11432,            0.034935,            0.043346,           0.0034874,             0.66157,            0.067698,            0.025117,            0.088627,            0.024192,            0.033209,               0.091,               0.001,               0.001
                   1,            0.094555,            0.034817,             0.03906,             0.04744,             0.38296,            0.071774,            0.023603,             0.07623,            0.022072,            0.030762,            0.081065,           0.0020654,           0.0020654
                   2,             0.08459,            0.034228,            0.035459,             0.55964,             0.24769,             0.18745,            0.083727,            0.067439,            0.020109,            0.027851,            0.071094,           0.0030944,           0.0030944
                   3,            0.075952,            0.031746,            0.032544,             0.59057,             0.34211,             0.24118,             0.12093,            0.064158,             0.02034,             0.02543,            0.061087,           0.0040871,           0.0040871
                   4,            0.072011,            0.031487,            0.028956,             0.59306,             0.35127,             0.33465,             0.16152,            0.065042,            0.015424,            0.023892,            0.051044,           0.0050436,           0.0050436
                   5,            0.066206,            0.030733,              0.0257,             0.66442,             0.35524,             0.39765,              0.1589,            0.058113,            0.013646,            0.021524,            0.040964,           0.0059638,           0.0059638
                   6,            0.066274,            0.026815,            0.023779,             0.73229,             0.37611,             0.38967,             0.19099,            0.054968,            0.013237,            0.019237,            0.030848,           0.0068476,           0.0068476
                   7,            0.064252,            0.027614,            0.022402,             0.82133,             0.38464,             0.47216,             0.19739,            0.057417,            0.012661,             0.01644,            0.020695,           0.0076952,           0.0076952
                   8,            0.061189,              0.0242,            0.018405,             0.55671,             0.37056,             0.22074,            0.090477,             0.05939,            0.011906,            0.015194,            0.010506,           0.0085064,           0.0085064
                   9,            0.059193,            0.021996,            0.018812,             0.65626,             0.42517,             0.38422,             0.18139,            0.061634,            0.010986,            0.013253,            0.008515,            0.008515,            0.008515
                  10,            0.062592,            0.025247,            0.016387,             0.53156,             0.37415,             0.22918,            0.074491,            0.056132,            0.010972,            0.013323,            0.008515,            0.008515,            0.008515
                  11,            0.060148,             0.02411,            0.013511,             0.74273,             0.43775,             0.44574,             0.21227,            0.050202,            0.011173,            0.011614,             0.00835,             0.00835,             0.00835
                  12,            0.056234,            0.024059,            0.014279,             0.80928,             0.46875,             0.57783,             0.29408,            0.047845,             0.01111,            0.011558,            0.008185,            0.008185,            0.008185
                  13,            0.057923,            0.024757,            0.014373,             0.76999,             0.49116,             0.56437,             0.24812,            0.048709,            0.010697,            0.011934,             0.00802,             0.00802,             0.00802
                  14,            0.054254,            0.023796,            0.013584,             0.66308,             0.49455,              0.4418,             0.23571,            0.045741,            0.010602,           0.0082351,            0.007855,            0.007855,            0.007855
                  15,            0.048355,            0.023977,            0.010806,             0.80022,             0.50061,             0.61156,              0.3344,            0.046037,            0.010346,           0.0081436,             0.00769,             0.00769,             0.00769
                  16,            0.050717,            0.021045,            0.011333,             0.83653,             0.53564,             0.66544,             0.36655,            0.045953,            0.010088,           0.0076835,            0.007525,            0.007525,            0.007525
                  17,            0.046654,            0.020895,           0.0099907,               0.844,             0.52309,             0.66147,             0.30059,             0.04388,           0.0099997,           0.0071071,             0.00736,             0.00736,             0.00736
                  18,            0.046954,            0.020491,           0.0081968,             0.85464,             0.55624,             0.70238,             0.37353,            0.043862,           0.0099711,           0.0064803,            0.007195,            0.007195,            0.007195
                  19,            0.044971,            0.020226,            0.008933,             0.90475,             0.54412,             0.68005,             0.38137,            0.041388,           0.0096389,           0.0057416,             0.00703,             0.00703,             0.00703
                  20,            0.046686,            0.018682,            0.007282,             0.84996,             0.55852,             0.63765,             0.35726,            0.041298,           0.0095309,            0.006008,            0.006865,            0.006865,            0.006865
                  21,             0.04747,            0.023465,           0.0079233,             0.87226,             0.55843,             0.64106,             0.35239,            0.042062,           0.0092143,           0.0048032,              0.0067,              0.0067,              0.0067
                  22,            0.044579,            0.020668,           0.0061784,             0.91438,             0.57859,             0.71429,             0.41064,            0.037886,           0.0088419,           0.0045603,            0.006535,            0.006535,            0.006535
                  23,            0.043341,            0.020594,           0.0074301,              0.9341,             0.56118,             0.75877,              0.4706,            0.036033,           0.0088323,           0.0041736,             0.00637,             0.00637,             0.00637
                  24,            0.042993,            0.020249,           0.0079409,             0.92817,             0.56354,             0.76752,             0.45933,            0.034607,           0.0088327,             0.00414,            0.006205,            0.006205,            0.006205
